# HR   HD     Vmag  B-V   SpType            
  260  5343   6.21  1.37  K3III             
  261  5357   6.37  0.38  F4III             
  262  5382   6.09  0.14  A5IV              
  263  5384   5.85  1.52  K5III             
  264  5394   2.47  -0.15 B0IVe             
  265  5395   4.63  0.96  G8IIIbFe-0.5      
  266  5408   5.55  -0.07 B9IVn             
  267  5437   5.31  1.52  K4III             
  268  5445   6.1   1.67  M0III             
  269  5448   3.87  0.13  A5V               
  270  5457   5.45  1.09  K2III             
  271  5516   4.42  0.94  G8IIIb            
  272  5526   6.12  1.02  K2III             
  273  5550   5.97  -0.02 A0III             
  274  5575   5.42  1.08  gG6               
  275  5608   5.98  1.0   K0                
  276  5612   6.32  0.89  G8III             
  277  5641   6.37  0.09  A2V               
  278  5715   6.39  0.13  A4IV              
  279  5722   5.61  0.97  G7III             
  280  5737   4.31  -0.16 B7IIIp            
  281  5771   6.23  0.1   Am                
  282  5788   6.84  ""    A2Vn              
  283  5789   6.04  -0.01 B9.5Vn            
  284  5820   6.11  1.67  M2III             
  285  5848   4.25  1.21  K2II-III          
  286  5914   6.46  0.11  A3V               
  287  6028   6.47  ""    A3V               
  288  6055   5.59  1.18  K0III             
  289  6114   6.45  0.25  A9IV              
  290  6116   5.98  0.16  A5m               
  291  6118   5.5   -0.05 B9.5V             
  292  6130   5.92  0.49  F0II              
  293  6178   5.5   0.08  A2V               
  294  6186   4.28  0.96  K0III             
  295  6192   6.11  0.94  G8III             
  296  6203   5.43  1.11  K0III-IV          
  297  6210   5.84  0.54  F6V               
  298  6211   5.99  1.47  K2                
  299  6245   5.36  0.9   G8III             
  300  6269   6.29  0.93  G5IV              
  301  6288   6.04  0.27  F1V               
  302  6300   6.54  -0.08 B3V               
  303  6301   6.19  0.43  F7IV-V            
  304  6311   6.21  1.64  M2III             
  305  6314   6.72  0.31  F0Vn              
  306  6319   6.25  1.12  gK2               
  307  6386   6.0   1.51  gK5               
  308  6397   5.68  0.41  F4II-III          
  309  6416   6.54  0.19  A5Vn              
  310  6456   5.34  -0.03 A1Vn              
  311  6457   5.56  -0.07 A0Vn              
  312  6473   6.29  ""    sgG6              
  313  6479   6.35  0.38  F3V               
  314  6480   7.25  0.49  F6V               
  315  6482   6.12  1.01  K0III             
  316  6497   6.43  1.18  K2III             
  317  6530   5.58  0.01  A1V               
  318  6540   6.38  ""    K2III             
  319  6557   6.12  0.96  G8III             
  320  6559   6.14  1.09  G8-K0III          
  321  6582   5.17  0.69  G5Vb              
  322  6595   3.31  0.89  G8III             
  323  6619   6.61  0.14  A1V               
  324  6658   5.03  0.11  A3m               
  325  6668   6.37  0.23  A7V               
  326  6676   5.79  -0.01 B8V               
  327  6680   6.25  0.4   F5IV              
  328  6695   5.55  0.13  A3V               
  329  6706   5.82  0.43  F7IV              
  330  6763   5.52  0.34  F0III-IV          
  331  6767   5.21  0.16  A3IV              
  332  6793   5.37  0.88  G5III             
  333  6798   5.64  0.01  A3V               
  334  6805   3.45  1.16  K1.5IIICN1Fe0.5   
  335  6811   4.25  -0.07 B7Ve              
  336  6829   5.29  -0.02 A0Vnn             
  337  6860   2.06  1.58  M0+IIIa           
  338  6882   3.92  -0.08 B6V+B9V           
  339  6903   5.55  0.69  G0III             
  340  6920   5.65  0.6   F8V               
  341  6953   5.8   1.47  K7III             
  342  6960   5.55  -0.07 B9.5V             
  343  6961   4.33  0.17  A7V               
  344  6966   6.06  1.49  M0III             
  345  6972   5.57  -0.09 B9IV              
  346  6976   6.4   1.04  K0III             
  347  7014   5.95  1.51  K4III             
  348  7019   5.81  -0.1  B7III-IV          
  349  7034   5.16  0.23  F0V               
  350  7082   6.41  0.89  G6II-III          
  351  7087   4.66  1.03  G8.5III-IIIa      
  352  7106   4.51  1.09  K0.5IIIb          
  353  7147   5.94  1.4   K4III             
  354  7157   6.41  0.01  B9V               
  355  7158   6.11  1.64  M1III             
  356  7229   6.19  1.0   G9III+G1V         
  357  7238   6.26  0.42  "F5V s"           
  358  7259   6.52  0.48  F7IV              
  359  7312   5.92  0.28  F0III             
  360  7318   4.65  1.04  K0III             
  361  7344   5.24  0.32  A7IV              
  362  7345   6.3   0.49  F7V               
  363  7351   6.43  1.7   S3+/2-            
  364  7374   5.98  -0.08 B8III             
  365  7389   7.83  0.78  K1V               
  366  7439   5.13  0.46  F5V               
  367  7446   6.03  1.08  gG6               
  368  7476   5.7   0.42  F5V               
  369  7546   6.61  -0.05 B9IIIpSi          
  370  7570   4.96  0.58  F8V               
  371  7578   6.02  1.15  K1III             
  372  7647   6.34  ""    K5                
  373  7672   5.41  0.9   G5IIIe+dA         
  374  7724   6.73  ""    K0                
  375  7732   6.31  0.92  G5III             
  376  7758   6.25  1.35  K0                
  377  7788   4.86  0.47  F6IV              
  378  7804   5.16  0.07  A3V               
  379  7853   6.46  0.23  A5m               
  380  7916   6.24  0.05  A0V               
  381  7925   6.38  0.28  F0IVn             
  382  7927   4.98  0.68  F0Ia              
  383  7964   4.76  0.03  A3V               
  384  8003   6.34  0.09  A2Vnn             
  385  8036   5.87  0.64  G8III+A7V         
  386  8065   6.07  0.39  A0Iab             
  387  8120   6.23  1.02  K1III             
  388  8121   6.15  1.11  K1III             
  389  8126   5.23  1.39  gK5               
  390  8207   4.88  1.08  K0-IIIb           
  391  8272   6.45  ""    F4V               
  392  8334   6.2   1.52  K5IIIab           
  393  8335   6.49  1.08  gK0               
  394  8350   6.35  0.48  F6IV              
  395  8374   5.58  0.26  A2Vm              
  396  8375   6.29  0.83  G8IV              
  397  8388   5.97  1.71  K5                
  398  8424   6.49  ""    A0Vnn             
  399  8491   4.74  1.05  K0III             
  400  8498   5.84  1.61  K5III             
  401  8511   6.21  0.23  F0V               
  402  8512   3.6   1.06  K0III-IIIb        
  403  8538   2.68  0.13  A5III-IV          
  404  8556   5.91  0.41  F3V               
  405  8589   6.14  0.91  G5                
  406  8599   6.15  0.96  G8III             
  407  8634   6.18  0.43  F5III             
  408  8651   5.42  1.04  K0III             
  409  8671   5.96  0.49  F7V               
  410  8673   6.31  0.47  F7V               
  411  8681   6.26  1.14  K1II              
  412  8705   4.9   1.23  K2.5IIIb          
  413  8723   5.38  0.39  F2V:              
  414  8763   5.5   1.11  K1III             
  415  8774   6.27  0.46  "F7IVb vs"        
  416  8779   6.41  1.24  K0IV              
  417  8799   4.83  0.42  F5IV              
  418  8801   6.46  0.27  A7m               
  419  8803   6.58  -0.04 B9V+A8V           
  420  8810   5.93  1.56  K5III             
  421  8829   5.66  0.35  "F0IIIDel Del"    
  422  8837   6.6   -0.04 A0III             
  423  8879   5.79  3.86  C6II              
  424  8890   2.02  0.6   F7:Ib-II          
  425  8921   6.13  1.32  K4III-IV          
  426  8949   6.2   1.12  K1III             
  427  9021   5.81  0.47  F6V               
  428  9030   6.14  0.08  "A2V s"           
  429  9053   3.41  1.57  M0-IIIa           
  430  9057   5.27  1.0   K0III             
  431  9065   6.58  0.3   F0IV              
  432  9100   6.02  0.14  A4IV              
  433  9132   5.12  0.02  A1V               
  434  9138   4.84  1.37  K4III             
  435  9184   6.31  1.66  M2III             
  436  9228   5.93  1.34  K4III             
  437  9270   3.62  0.97  G7IIIa            
  438  9298   6.39  -0.12 B7IIIpHgMn        
  439  9352   5.7   1.52  K0Ib+B9V          
  440  9362   3.95  0.99  K0III             
  441  9377   5.82  1.08  K0III             
  442  9408   4.71  1.0   G9IIIb            
  443  9414   6.17  0.06  A2V               
  444  9484   6.59  -0.04 A0III             
  445  9525   5.51  1.02  K0III             
  446  9531   5.88  -0.07 B9IV              
  447  9544   6.28  0.46  F4V               
  448  9562   5.76  0.64  G2IV              
  449  9612   6.58  0.03  B9Ve              
  450  9640   5.89  1.52  M2IIIab           
  451  9672   5.63  0.07  A3V               
  452  9712   6.38  1.11  K1III             
  453  9742   6.12  1.11  K0-1III           
  454  9746   5.92  1.21  gK1               
  455  9766   6.22  -0.04 B9.5III           
  456  9774   5.28  0.96  G8III             
  457  9780   5.8   ""    F0IV              
  458  9826   4.09  0.54  F8V               
  459  9856   5.42  1.21  K2IIIaBa0.2CN1    
  460  9896   6.01  0.38  F2V               
  461  9900   5.56  1.38  G5II              
  462  9906   5.69  0.33  F2V               
  463  9919   5.57  0.35  F0V               
  464  9927   3.57  1.28  K3-III            
  465  9996   6.36  0.04  B9pCrEu           
  466  10009  6.24  0.53  F7V               
  467  10042  6.11  0.97  K0III             
  468  10052  6.18  1.61  M3III             
  469  10072  4.98  0.89  G8III             
  470  10110  6.39  1.61  K5III             
  471  10142  5.94  1.05  K0IV              
  472  10144  0.46  -0.16 B3Vpe             
