# HR   HD     Vmag  B-V   SpType            
  5373 125642 6.33  0.05  A2V               
  5374 125658 6.44  0.15  A5III             
  5375 125721 6.09  -0.13 B1III             
  5376 125745 5.56  -0.09 B8V               
  5377 125810 6.02  1.36  K2III             
  5378 125823 4.42  -0.18 B7IIIp            
  5379 125835 5.61  0.49  A3Ib              
  5380 125869 6.0   1.1   K1III             
  5381 125932 4.77  1.31  K4III             
  5382 125990 6.36  0.13  A3V               
  5383 126035 6.21  0.99  G7III             
  5384 126053 6.27  0.63  G1V               
  5385 126128 6.86  0.43  F0V+F2V           
  5386 126129 5.12  -0.02 A0V               
  5387 126141 6.22  0.37  F5V               
  5388 126200 5.95  0.06  A3V               
  5389 126209 6.07  1.18  K0-1III           
  5390 126218 5.32  0.96  G8III             
  5391 126241 5.85  1.5   K3III             
  5392 126248 5.1   0.12  A5V               
  5393 126251 6.49  0.42  F4III             
  5394 126271 6.19  1.2   K4III             
  5395 126341 4.56  -0.15 B2IV              
  5396 126354 4.35  0.43  F4IV+A7:          
  5397 126367 6.61  0.14  A2V               
  5398 126386 6.32  1.19  K2III             
  5399 126400 6.48  0.94  G7IV              
  5400 126475 6.35  -0.08 B7IV              
  5401 126504 5.83  0.31  A1mA5/7-F2        
  5402 126597 6.27  1.23  gK2               
  5403 126610 6.45  0.14  A0II-III          
  5404 126660 4.05  0.5   F7V               
  5405 126661 5.39  0.23  F0m               
  5406 126722 6.17  0.09  A2IV              
  5407 126769 4.97  -0.07 B8V               
  5408 126862 5.83  1.0   K1III             
  5409 126868 4.81  0.7   G2IV              
  5410 126927 5.42  1.49  K5III             
  5411 126943 6.63  0.37  F1IV              
  5412 126981 5.5   -0.08 B8Vn              
  5413 126983 5.37  0.05  A1V+B             
  5414 127043 7.62  -0.01 A1V               
  5415 127067 7.12  -0.03 A1V               
  5416 127065 6.1   ""    K0III             
  5417 127152 6.39  1.44  K3III             
  5418 127167 5.94  0.16  A5IV              
  5419 127193 5.97  1.06  K1III             
  5420 127243 5.59  0.85  G3IV              
  5421 127297 6.93  0.91  F5Ia              
  5422 127304 6.06  -0.03 "A0V s"           
  5423 127334 6.35  0.7   G5V               
  5424 127337 6.02  1.42  gK4               
  5425 127381 4.42  -0.19 B2III             
  5426 127486 5.87  0.48  F6IV-V            
  5427 127501 5.87  1.09  K0III             
  5428 127624 6.09  1.03  K0III             
  5429 127665 3.58  1.3   K3-III            
  5430 127700 4.25  1.44  K4-IIIBa0.3       
  5431 127716 6.6   0.06  A2IV              
  5432 127724 6.4   1.26  K2III             
  5433 127726 6.01  0.22  A7Vn              
  5434 127739 5.92  0.35  F2IV              
  5435 127762 3.03  0.19  A7III             
  5436 127821 6.09  0.41  F4IV              
  5437 127929 6.27  0.24  F0III             
  5438 127964 6.5   0.14  A4V               
  5439 127971 5.87  -0.08 B7V               
  5440 127972 2.31  -0.19 B1.5Vne           
  5441 127986 6.43  ""    "F8IV w"          
  5442 128000 5.76  1.5   gK5               
  5443 128020 6.04  0.5   F7V               
  5444 128068 5.55  1.48  K3III             
  5445 128093 6.33  0.4   F5V               
  5446 128152 6.13  1.05  K1III             
  5447 128167 4.46  0.36  F2V               
  5448 128198 6.03  1.38  gK5               
  5449 128207 5.74  -0.12 B8n               
  5450 128266 5.41  1.01  G8III             
  5451 128332 6.48  0.49  F6-8V             
  5452 128333 5.74  1.56  M1IIIab           
  5453 128345 4.05  -0.15 B5V               
  5454 128402 6.38  1.06  K0                
  5455 128429 6.2   0.46  F5V               
  5456 128488 6.02  1.43  K3III             
  5457 128582 6.07  0.51  F7V               
  5458 128617 6.39  0.44  F3IV              
  5459 128620 -0.01 0.71  G2V               
  5460 128621 1.33  0.88  K1V               
  5461 128713 6.3   1.18  K0-1II            
  5462 128750 5.91  1.1   gK2               
  5463 128898 3.19  0.24  ApSrEuCr:         
  5464 128902 5.7   1.48  K2III             
  5465 128917 6.22  0.45  F4V               
  5466 128974 5.67  -0.08 A0p:              
  5467 128998 5.85  -0.01 A1V               
  5468 129002 5.39  0.0   A1V               
  5469 129056 2.3   -0.2  B1.5III/Vn        
  5470 129078 3.83  1.43  K3IIIa            
  5471 129116 4.0   -0.17 B3V               
  5472 129132 6.1   0.4   G0V               
  5473 129153 5.91  0.21  F0V               
  5474 129161 6.37  -0.09 ApSi              
  5475 129174 4.94  -0.03 B9pMnHgSi         
  5476 129175 5.88  0.24  A6V               
  5477 129246 4.83  ""    A2III             
  5478 129247 4.43  0.05  A2III             
  5479 129245 6.26  1.3   K3III             
  5480 129312 4.86  1.0   "G7+IIIHdel -0.5" 
  5481 129336 5.56  0.94  G8III             
  5482 129422 5.36  0.29  A9V               
  5483 129430 6.38  ""    G8III-IV          
  5484 129433 5.73  -0.01 B9                
  5485 129456 4.05  1.35  K3IIIb            
  5486 129462 6.11  1.02  K0III             
  5487 129502 3.88  0.38  F2III             
  5488 129557 6.1   -0.06 B2III             
  5489 129685 4.92  0.01  A0V               
  5490 129712 4.81  1.66  M3-III            
  5491 129723 6.48  0.3   Am                
  5492 129798 6.25  0.41  F2V               
  5493 129846 5.73  1.39  K4III             
  5494 129858 5.74  0.07  A1V               
  5495 129893 5.21  0.98  G8III             
  5496 129902 6.07  1.61  M1III             
  5497 129926 4.94  0.35  F2III-IV          
  5498 129932 6.07  0.09  A1III-IV          
  5499 129944 5.81  0.98  gG5               
  5500 129954 5.91  -0.07 B2.5Ve            
  5501 129956 5.69  -0.03 B9.5V             
  5502 129972 4.6   0.98  G8.5III           
  5503 129978 6.33  1.19  K1III             
  5504 129980 6.4   0.58  F7V               
  5505 129988 5.12  ""    A2V               
  5506 129989 2.7   0.97  K0-II-III         
  5507 130025 6.13  0.83  K0                
  5508 130055 5.94  1.33  K3III             
  5509 130073 6.3   1.08  G8III             
  5510 130084 6.28  1.58  M1IIIb            
  5511 130109 3.72  -0.01 A0V               
  5512 130144 5.63  1.57  M5IIIab           
  5513 130157 6.06  1.65  K5III             
  5514 130158 5.63  ""    A0IIIp            
  5515 130227 6.23  1.13  K1III             
  5516 130259 5.24  0.94  G5III             
  5517 130274 5.77  -0.02 B9V               
  5518 130325 6.35  1.1   K0III             
  5519 130328 6.04  1.54  M3III             
  5520 130458 5.6   0.82  G7IIIa+F9IV       
  5521 130529 5.68  1.3   gK1               
  5522 130557 6.14  -0.04 B9VSi:Cr:         
  5523 130559 5.31  0.07  A1pSrCrEu         
  5524 130603 6.14  0.48  F2-6V             
  5525 130650 5.65  0.95  G8-K0III          
  5526 130694 4.41  1.4   K4III             
  5527 130701 5.87  0.72  G3II+B8V          
  5528 130807 4.32  -0.15 B5IV              
  5529 130817 6.16  0.36  F2V               
  5530 130819 5.15  0.41  F4IV              
  5531 130841 2.75  0.15  A3IV              
  5532 130917 5.8   0.05  A4V               
  5533 130945 5.74  0.48  "F7IV w"          
  5534 130948 5.85  0.56  G0-2V             
  5535 130952 4.94  0.98  G8III-IV          
  5536 130970 6.18  1.4   K3III             
  5537 131040 6.51  0.4   F5IV              
  5538 131041 5.69  0.47  F6V+F5V           
  5539 131058 6.09  -0.06 B3Vn              
  5540 131109 5.34  1.45  K4III:            
  5541 131111 5.48  1.02  K0III-IV          
  5542 131117 6.29  0.6   G1V               
  5543 131120 5.03  -0.16 B7IIIp            
  5544 131156 4.55  0.76  G8Ve+K4Ve         
  5545 131246 5.65  1.3   G8Ib              
  5546 131342 5.2   1.16  K2III             
  5547 131425 5.93  1.05  G8II              
  5548 131430 5.3   1.32  K2III             
  5549 131432 5.82  1.42  K2III             
  5550 131473 6.4   0.57  F9V               
  5551 131492 5.11  0.0   B4Vnpe            
  5552 131507 5.46  1.36  K4III             
  5553 131511 6.01  0.83  K2V               
  5554 131530 5.8   0.97  G7III             
  5555 131551 6.2   -0.04 B9V               
  5556 131562 5.38  0.13  A2III             
  5557 131596 5.91  -0.06 B9.5V             
  5558 131625 5.32  0.04  A0V               
  5559 131657 5.64  -0.04 B9V               
  5560 131705 6.64  1.7   M2III             
  5561 131752 6.36  0.06  A0-1V             
  5562 131774 6.06  1.41  K3III             
  5563 131873 2.08  1.47  K4-III            
  5564 131918 5.46  1.49  K4III             
  5565 131919 6.29  -0.04 B9V               
  5566 131923 6.35  0.71  G3-5V             
  5567 131951 5.77  -0.06 A0V               
  5568 131977 5.74  1.11  K4V               
  5569 132029 6.12  0.1   A2V               
  5570 132052 4.49  0.32  F0V               
  5571 132058 2.68  -0.22 B2III/IV          
  5572 132096 6.15  1.23  K2III             
  5573 132132 5.53  1.13  K1III             
  5574 132145 6.49  -0.01 A1V               
  5575 132146 5.71  0.94  gG5               
  5576 132200 3.13  -0.2  B2IV              
  5577 132219 5.65  0.24  A4V+A6V           
  5578 132230 6.6   0.01  A1V               
  5579 132238 6.47  -0.08 B8V               
  5580 132242 6.1   0.6   F5III             
  5581 132254 5.63  0.5   F7V               
  5582 132345 5.87  1.26  K3-IIICN1         
  5583 132375 6.09  0.5   F8V               
  5584 132525 5.93  1.6   M2III             
  5585 132604 5.89  1.24  K2-3III           
  5586 132742 4.92  0.0   B9.5V             
  5587 132763 6.22  0.24  A8IV              
  5588 132772 5.64  0.31  F0-2IV-III        
  5589 132813 4.6   1.59  M4.5III           
  5590 132833 5.52  1.68  M0III             
  5591 132851 5.85  0.16  A4IV              
  5592 132879 6.38  ""    K0                
  5593 132905 5.17  0.93  G8III             
  5594 132933 5.71  1.52  M0.5IIb           
  5595 132955 5.44  -0.12 B3V               
  5596 133002 5.64  0.68  F9V               
  5597 133029 6.37  -0.14 B9pSiSrCr         
  5598 133049 6.52  1.59  K4III             
  5599 133112 6.61  0.2   A5m               
  5600 133124 4.81  1.5   K4-IIIabCa0.5     
  5601 133165 4.4   1.04  K0.5IIIbFe-0.5    
  5602 133208 3.5   0.97  G8IIIaBa0.3Fe-0.5 
  5603 133216 3.29  1.7   M3-III            
  5604 133220 6.41  1.46  M6III             
  5605 133242 4.72  -0.14 B5V               
  5606 133243 4.82  ""    B5IV              
  5607 133340 5.15  1.01  G8III             
  5608 133388 5.93  0.09  A4V               
  5609 133392 5.51  1.02  gG8               
  5610 133408 6.5   0.31  F0V               
  5611 133456 6.17  1.47  K3III             
  5612 133484 6.65  0.46  F6IV              
  5613 133485 6.59  1.02  G8III-IV          
  5614 133529 6.67  -0.01 B8V               
  5615 133550 6.27  1.65  K5III             
  5616 133582 4.54  1.24  K2III             
  5617 133631 5.77  0.92  G8III             
  5618 133640 4.76  0.65  F9-G1Vn           
  5619 133652 5.96  -0.08 A0pSi             
  5620 133670 6.17  1.05  gK1               
  5621 133683 5.76  0.69  F6II              
  5622 133774 5.2   1.58  K5-III            
  5623 133792 6.28  0.06  A0pSrCrEu         
  5624 133880 5.79  -0.14 B8IVSi            
  5625 133937 5.85  -0.11 B7V               
  5626 133955 4.05  -0.18 B3V               
  5627 133962 5.57  0.0   A1V               
  5628 133981 6.01  0.0   B8-9III           
  5629 133994 6.13  ""    "A2V s"           
  5630 134044 6.35  0.52  F8V               
  5631 134047 6.16  0.94  K0III             
  5632 134060 6.3   0.63  G2V               
  5633 134064 6.02  0.06  A3V               
  5634 134083 4.93  0.43  F5V               
  5635 134190 5.25  0.96  G7.5IIIFe-1       
  5636 134255 5.98  ""    G8III             
  5637 134270 5.54  1.14  G2Ib-II           
  5638 134320 5.67  1.24  gK2               
  5639 134323 6.1   0.96  dG6               
  5640 134335 5.81  1.24  K1III             
  5641 134373 5.76  1.05  K0III             
  5642 134444 6.44  1.04  K1III             
  5643 134443 7.39  1.08  K0III             
  5644 134453 5.81  3.38  C5,5              
  5645 134468 6.32  1.9   K4Ib              
  5646 134481 3.87  -0.05 B9.5Vne           
  5647 134482 5.69  0.14  A3IV              
  5648 134493 6.39  1.03  K0III             
  5649 134505 3.41  0.92  G8III             
  5650 134597 6.33  1.12  K2III             
  5651 134687 4.82  -0.17 B3IV              
  5652 134759 4.54  -0.08 A0pSi             
  5653 134837 6.1   -0.08 B8V               
  5654 134943 5.89  1.53  M4IIIab           
  5655 134946 6.47  -0.04 B9                
  5656 134967 6.08  0.12  A3Vn              
  5657 134987 6.45  0.7   G4V               
  5658 135051 5.84  1.14  gG5               
  5659 135101 6.68  0.68  G5V               
  5660 135153 4.91  0.37  F1II              
  5661 135160 5.73  -0.08 B0.5Ve            
  5662 135230 6.17  -0.05 B9.5III           
  5663 135235 5.95  0.21  A3m               
  5664 135240 5.09  -0.06 O8.5V             
  5665 135263 6.3   0.06  A2V               
  5666 135291 4.86  1.25  K2.5III           
  5667 135345 5.16  0.58  G5Ia+B            
  5668 135348 6.04  -0.14 B3IV              
  5669 135367 6.28  1.47  K2                
  5670 135379 4.07  0.09  A3V               
  5671 135382 2.89  0.0   A1V               
  5672 135384 6.17  ""    A8Vn              
  5673 135402 6.2   1.2   gK2               
  5674 135438 5.99  1.52  K5                
  5675 135482 5.33  1.09  K0III             
  5676 135502 5.26  0.03  A2V               
  5677 135530 6.13  1.66  M2IIIa            
  5678 135534 5.5   1.38  K5III             
  5679 135559 5.63  0.18  A4V               
  5680 135591 5.46  -0.1  O7.5III((f))      
  5681 135722 3.47  0.95  G8IIIFe-1         
  5682 135730 6.28  0.18  Am                
  5683 135734 4.27  -0.08 B8Ve              
  5684 135737 6.28  -0.09 B3V               
  5685 135742 2.61  -0.11 B8V               
  5686 135758 4.34  1.1   G9IIIaFe1         
  5687 135876 5.59  -0.1  B7V               
  5688 135896 6.18  1.23  G6-8III           
  5689 136014 6.2   0.96  G6III-IV          
  5690 136028 5.89  1.51  K5III             
  5691 136064 5.13  0.53  F9IV              
  5692 136138 5.7   0.97  G8IIIaBa0.3       
  5693 136174 6.51  ""    A1Vn              
  5694 136202 5.06  0.54  F8III-IV          
  5695 136298 3.22  -0.22 B1.5IV            
  5696 136334 6.2   0.07  A1V               
  5697 136347 6.48  -0.06 A0pSi             
  5698 136351 5.0   0.5   F8V               
  5699 136352 5.65  0.65  G3-5V             
  5700 136359 5.67  0.48  F7V               
  5701 136366 6.17  1.02  G8III             
  5702 136403 6.32  0.24  A2m               
  5703 136407 6.3   0.41  F0III             
  5704 136415 4.51  0.19  B5IV+F8           
  5705 136422 3.56  1.54  K5III             
  5706 136442 6.35  1.06  K0V               
  5707 136479 5.54  1.04  K1III             
  5708 136504 3.37  -0.18 B2IV-V            
  5709 136512 5.51  1.02  K0III             
  5710 136514 5.35  1.19  K3III             
  5711 136643 6.39  1.23  K0                
  5712 136664 4.54  -0.15 B4V               
  5713 136672 5.89  1.02  G8-K0III          
  5714 136726 5.02  1.37  K4III             
  5715 136729 5.66  0.11  A4V               
  5716 136751 6.19  0.39  "F3-4IV s"        
  5717 136831 6.28  -0.02 A0V               
  5718 136849 5.37  -0.07 B9Vn              
  5719 136933 5.37  -0.11 A0pSi             
  5720 136956 5.72  1.04  gG6               
  5721 137006 6.12  0.25  F0V               
  5722 137015 7.03  0.09  A2V               
  5723 137052 4.94  0.44  F5IV              
  5724 137058 4.6   0.0   A0IV              
  5725 137066 5.71  1.64  K5-M0III          
  5726 137071 5.5   1.59  gK4               
  5727 137107 5.58  0.58  G0V               
  5728 137108 6.08  ""    G3V               
  5729 137333 5.57  0.11  A2V               
  5730 137387 5.49  -0.12 B3IVe             
  5731 137389 5.98  -0.03 A0pSi             
  5732 137390 6.01  1.2   K2III             
  5733 137391 4.31  0.31  F2IVa             
  5734 137392 6.5   0.59  G1V               
  5735 137422 3.05  0.05  A3II-III          
  5736 137432 5.45  -0.15 B4Vp              
  5737 137443 5.79  1.27  gK4               
  5738 137465 6.1   1.09  G2II              
  5739 137471 5.17  1.66  M1III             
  5740 137510 6.27  0.6   G0IV-V            
  5741 137704 5.46  1.4   K4III             
  5742 137709 5.24  1.74  K4III             
  5743 137744 5.64  1.55  K5III             
  5744 137759 3.29  1.16  K2III             
  5745 137853 6.02  1.62  gM1               
  5746 137898 5.17  0.23  A8IV              
  5747 137909 3.68  0.28  F0p               
  5748 137928 6.45  0.05  A2IV              
  5749 138105 6.22  0.17  A5m               
  5750 138137 5.82  1.06  gG6               
  5751 138204 6.25  0.2   A7V               
  5752 138213 6.15  0.1   AmA3-F0V:         
  5753 138221 6.46  0.09  B7V               
  5754 138245 6.5   0.14  A5IV              
  5755 138265 5.9   1.44  K5III             
  5756 138268 6.22  0.22  A8V               
  5757 138289 6.18  1.2   K2IIICN0.5Ba-1    
  5758 138290 6.57  0.37  "F4V w"           
  5759 138338 6.43  0.08  A3m               
  5760 138341 6.46  0.19  A4IV              
  5761 138383 6.37  ""    K0                
  5762 138413 5.52  0.18  A2m               
  5763 138481 5.02  1.59  K4.5IIIbBa0.4     
  5764 138485 5.5   -0.14 B2Vn              
  5765 138488 7.0   0.27  A3+F0V:           
  5766 138498 6.51  0.35  F3IV-V            
  5767 138505 5.82  1.68  M2III             
  5768 138524 6.38  ""    K5                
  5769 138525 6.38  0.5   F6III             
  5770 138527 6.22  -0.05 B9V               
  5771 138538 4.11  1.17  K1-2III           
  5772 138562 5.51  1.09  K0III             
  5773 138564 6.36  -0.03 B9V               
  5774 138629 5.02  0.07  A5V               
  5775 138688 5.15  1.3   K4III             
  5776 138690 2.78  -0.2  B2IV              
  5777 138716 4.62  1.01  K1III-IV          
  5778 138749 4.14  -0.13 B6Vnne            
  5779 138763 6.51  0.58  F7V               
  5780 138764 5.17  -0.09 B6IV              
  5781 138769 4.54  -0.18 B3IVp             
  5782 138800 5.65  -0.04 B7III-IV          
  5783 138803 6.45  ""    F3III             
  5784 138816 5.43  1.5   K4-5III           
  5785 138852 5.79  0.96  K0III-IV          
  5786 138867 5.95  -0.04 B9V               
  5787 138905 3.91  1.01  G8.5III           
  5788 138917 3.8   0.26  F0IV              
  5789 138918 3.8   0.26  F0IV              
  5790 138923 6.24  ""    B8V               
  5791 138936 6.56  0.28  F0III             
  5792 138965 6.44  0.08  A1V               
  5793 139006 2.23  -0.02 A0V+G5V           
  5794 139063 3.58  1.38  K3III             
  5795 139074 6.12  0.94  gG8               
  5796 139087 6.07  1.09  gK0               
  5797 139127 4.33  1.42  K4.5III           
  5798 139129 5.44  0.0   A0V               
  5799 139137 6.51  0.72  G8III+A           
  5800 139153 5.11  1.64  M1.5III-IIIb      
  5801 139160 6.19  0.01  B7IV              
  5802 139195 5.26  0.95  K0III:CN1Ba0.7Sr2 
  5803 139211 5.95  0.48  F6V               
  5804 139225 5.93  0.29  F3V               
  5805 139233 6.57  -0.07 B9V               
  5806 139254 5.78  1.1   K0III             
  5807 139271 6.04  0.21  A3-5mA3-F2        
  5808 139284 6.42  ""    K2                
  5809 139290 6.32  1.17  K1III             
  5810 139329 5.84  1.08  gG9               
  5811 139357 5.97  1.18  gK4               
  5812 139365 3.66  -0.17 B2.5V             
  5813 139389 6.52  ""    F5V:              
  5814 139446 5.38  0.86  G8III             
  5815 139460 6.5   0.53  F6IV-V            
  5816 139461 6.48  0.52  F6V               
  5817 139478 6.74  0.32  F4IIIp            
  5818 139493 5.74  ""    A2V               
  5819 139518 6.34  0.02  A0V               
  5820 139521 4.67  0.99  G8III             
  5821 139599 6.23  1.63  K5-M0III          
  5822 139613 6.34  1.43  K2III             
  5823 139641 5.24  0.88  G7III-IVFe-2      
  5824 139663 4.96  1.33  K3IIICN1          
  5825 139664 4.64  0.4   F5IV-V            
  5826 139669 4.96  1.58  K5III             
  5827 139761 6.11  1.02  K0                
  5828 139778 5.87  1.07  gK1               
  5829 139777 6.58  0.67  G0IV-V+G8IV-V     
  5830 139798 5.75  0.36  F2V               
  5831 139862 6.25  0.94  G7.5IIIaFe-0.5    
  5832 139871 6.04  1.31  K2III             
  5833 139891 6.0   ""    B9V               
  5834 139892 5.07  -0.12 B7V               
  5835 139906 5.84  0.83  G8III             
  5836 139915 6.48  1.05  G0Ib              
  5837 139980 5.24  0.98  G8-K0III          
  5838 139997 4.74  1.57  M0-IIIb           
  5839 140008 4.75  -0.14 B5V               
  5840 140027 6.01  0.9   G8III             
  5841 140117 6.45  1.09  K1III             
  5842 140159 4.52  0.04  A1V               
  5843 140160 5.33  0.04  A0pSr             
  5844 140227 5.62  1.35  K5IIIb            
  5845 140232 5.81  0.2   A2m               
  5846 140285 5.94  0.0   A0V+B             
  5847 140301 6.31  1.16  K0IV              
  5848 140417 5.41  0.23  F0IV              
  5849 140436 3.84  0.0   B9IV+A3V          
  5850 140438 6.48  0.86  G5III             
  5851 140483 6.18  0.22  A5III-IV          
  5852 140484 6.39  0.24  F0-2IV            
  5853 140538 5.88  0.68  G2.5V             
  5854 140573 2.65  1.17  K2IIIbCN1         
  5855 140716 5.56  1.06  gG9               
  5856 140722 6.51  0.32  F2IV              
  5857 140728 5.51  -0.07 B9pSiCr           
  5858 140729 6.14  0.0   A0V               
  5859 140775 5.58  0.04  A0V               
  5860 140784 5.61  -0.11 B7Vn              
  5861 140815 6.33  1.19  K0III             
  5862 140861 6.42  0.88  G5III-IV          
  5863 140873 5.4   -0.03 B8III             
  5864 140901 6.01  0.72  G6V               
  5865 140979 6.07  1.38  K2-3III           
  5866 140986 6.24  1.17  K0                
  5867 141003 3.67  0.06  A2IV              
  5868 141004 4.43  0.6   G0-V              
  5869 141168 5.77  -0.08 B9Vn:             
  5870 141187 5.71  0.09  A3V               
  5871 141194 5.84  0.07  A1V               
  5872 141296 6.12  0.29  A9III             
  5873 141318 5.73  0.06  B2II              
  5874 141353 6.0   1.25  gK2               
  5875 141378 5.53  0.12  A5IV              
  5876 141413 6.54  0.19  A5IV              
  5877 141456 6.44  ""    K5                
  5878 141472 5.92  1.39  gK3               
  5879 141477 4.09  1.62  M0.5IIIab         
  5880 141527 5.85  0.77  G0Iep             
  5881 141513 3.53  -0.04 A0V               
  5882 141544 6.01  1.16  K2III             
  5883 141556 3.95  -0.04 B9IV              
  5884 141585 6.19  1.47  K3III             
  5885 141637 4.64  -0.05 B3V               
  5886 141653 5.19  0.04  A2IV              
  5887 141675 5.86  0.25  A3m               
  5888 141680 5.23  1.02  G8III             
  5889 141714 4.63  0.8   G3.5III-IVFe-1    
  5890 141724 6.6   1.53  K3III             
  5891 141767 5.09  1.13  G5IIa             
  5892 141795 3.71  0.15  A2Vm              
  5893 141832 6.4   0.98  K1III             
  5894 141850 5.2   ""    M7IIIe            
  5895 141851 5.11  0.12  A3Vnp             
  5896 141853 6.19  1.0   G8III             
  5897 141891 2.85  0.29  F2III             
  5898 141913 6.15  0.1   B9II              
  5899 141992 4.76  1.54  K5-III            
  5900 142049 5.77  0.35  G5II-III+A3       
  5901 142091 4.82  1.0   K1IVa             
  5902 142096 5.03  -0.01 B2.5V             
  5903 142105 4.32  0.04  A3Vn              
  5904 142114 4.59  -0.07 B2.5Vn            
  5905 142139 5.76  0.06  A3V               
  5906 142165 5.39  -0.02 B6IVn             
  5907 142184 5.42  -0.04 B2.5Vne           
  5908 142198 4.15  1.02  G8.5IIIb          
  5909 142244 6.36  ""    K0                
  5910 142250 6.14  -0.07 B6Vp              
  5911 142267 6.1   0.6   G0VFe-0.5         
  5912 142301 5.87  -0.06 B8IIIp            
  5913 142357 6.09  ""    F5II-III          
  5914 142373 4.62  0.56  "F8VFe-2Hdel -1"  
  5915 142378 5.94  -0.01 B5V               
  5916 142407 6.21  1.37  K4III             
  5917 142445 5.62  0.15  A3V               
  5918 142448 6.03  0.15  B6V               
  5919 142500 6.29  0.18  A7Vn              
  5920 142514 5.75  -0.06 B7III             
  5921 142529 6.31  0.38  F1IV              
  5922 142531 5.81  0.96  gG8               
  5923 142542 6.29  0.43  F6V               
  5924 142574 5.44  1.59  M0III             
  5925 142629 5.12  0.12  A3V               
  5926 142630 5.62  0.05  B9V               
  5927 142640 6.37  0.48  F7V:              
  5928 142669 3.88  -0.2  B2IV-V            
  5929 142691 5.8   1.01  K0-1III           
  5930 142703 6.13  0.23  A2III             
  5931 142763 6.26  -0.11 B8III             
  5932 142780 5.37  1.65  M3IIIBa0.3        
  5933 142860 3.85  0.48  F6V               
  5934 142883 5.85  0.02  B3V               
  5935 142889 6.31  1.01  K0III             
  5936 142908 5.45  0.33  F0IV              
  5937 142919 6.1   0.0   B5IV              
  5938 142926 5.75  -0.11 B9pe              
  5939 142941 6.41  0.78  F8II              
  5940 142980 5.54  1.14  K1IV              
  5941 142983 4.88  -0.1  B5IIIp            
  5942 142990 5.43  -0.09 B5IV              
  5943 143009 4.99  1.0   K0II-III          
  5944 143018 2.89  -0.19 B1V+B2V           
  5945 143084 6.49  1.52  K1II-III          
  5946 143101 6.13  0.25  A5V               
  5947 143107 4.15  1.23  K2IIIab           
  5948 143118 3.41  -0.22 B2.5IV            
  5949 143187 6.31  -0.02 A0V               
  5950 143209 6.31  1.07  K0                
  5951 143238 6.25  -0.04 B9.5V             
  5952 143248 6.21  0.01  A0V               
  5953 143275 2.32  -0.12 B0.3IV            
  5954 143333 5.47  0.52  F8V               
  5955 143346 5.7   1.17  K1IIICNII         
  5956 143404 6.33  1.45  K4III             
  5957 143435 5.62  1.49  gK5               
  5958 143454 2.0   0.1   sdBe+gM3+Q        
  5959 143459 5.55  0.05  "A0V s"           
  5960 143466 4.95  0.26  F0IV              
  5961 143474 4.63  0.24  A7IV              
  5962 143546 4.65  0.92  G8III             
  5963 143553 5.83  1.0   gK0               
  5964 143584 6.05  0.29  F0IV              
  5965 143619 6.03  1.31  K3III             
  5966 143666 5.12  0.99  G8IIIbFe-0.5      
  5967 143699 4.89  -0.14 B6IV              
  5968 143761 5.41  0.6   G0+VaFe-1         
  5969 143787 5.0   1.22  K5III             
  5970 143790 6.01  0.47  F4IV              
  5971 143807 4.99  -0.07 A0p:Hg:           
  5972 143894 4.83  0.07  A3V               
  5973 143900 6.21  1.38  K0                
  5974 143902 6.1   0.34  A9IV              
  5975 143928 5.9   0.4   F3IV              
  5976 144046 6.08  0.96  G9III             
  5977 144069 5.07  ""    F5IV              
  5978 144070 4.77  0.47  F5IV              
  5979 144183 6.16  0.58  F2II              
  5980 144197 4.72  0.23  Am                
  5981 144204 5.93  1.48  gK5               
  5982 144206 4.76  -0.11 B9III             
  5983 144208 5.83  0.56  A2V+F7III         
  5984 144217 2.62  -0.07 B1V               
  5985 144218 4.92  -0.02 B2V               
  5986 144284 4.01  0.52  F8IV              
  5987 144294 4.23  -0.17 B2.5Vn            
  5988 144334 5.92  -0.08 B8p               
  5989 144362 6.53  0.48  F2IV              
  5990 144390 6.41  1.03  K0                
  5991 144415 5.73  0.29  F1IV              
  5992 144426 6.29  0.08  A3m               
  5993 144470 3.96  -0.04 B1V               
  5994 144480 5.57  -0.04 B9.5V             
  5995 144542 6.19  1.58  M1III             
  5996 144585 6.32  0.66  G4IV-V            
  5997 144608 4.32  0.84  G3II-III          
  5998 144661 6.33  -0.06 B7IIIp:           
  5999 144668 7.05  0.36  A7IVe             
  6000 144667 6.65  -0.07 A0-3III           
  6001 144690 5.38  1.65  M2III             
  6002 144708 5.78  0.01  B9.5Vnn           
  6003 144844 5.88  0.02  B9IVp:            
  6004 144874 5.63  0.2   A7V               
  6005 144889 6.14  1.37  K4III             
  6006 144927 6.19  0.79  K0-2III           
  6007 144987 5.54  -0.1  B8V               
  6008 145001 5.0   0.95  G8III             
  6009 145000 6.25  1.14  K1III             
  6010 145002 5.73  1.61  M3.5IIIa          
  6011 145085 5.91  1.47  gK5               
  6012 145100 6.47  0.44  F4V               
  6013 145122 6.14  0.0   A0Vnn             
  6014 145148 5.97  1.0   K1.5IV            
  6015 145191 5.86  0.27  F0IV              
  6016 145206 5.37  1.45  K4III             
  6017 145250 5.13  1.12  K3III             
  6018 145328 4.76  1.01  K1-III-IV         
  6019 145361 5.81  0.34  F2III             
  6020 145366 4.68  1.69  M5IIIb            
  6021 145388 5.27  1.41  K3III             
  6022 145384 5.83  1.96  M0Ib-II+F-G       
