# APOGEE_ID          RA         DEC        VHELIO_AVG 
  2M13251488-4748287 201.312026 -47.807991 239.00574  
  2M13251503-4730517 201.312639 -47.514374 216.13649  
  2M13251525-4739515 201.313568 -47.664322 241.91386  
  2M13251566-4808210 201.315273 -48.139191 78.900314  
  2M13251587-4722239 201.316161 -47.373306 240.07611  
  2M13251598-4719289 201.316617 -47.324707 219.69234  
  2M13251617-4721507 201.317399 -47.364086 239.6646   
  2M13251633-4731502 201.318055 -47.530617 225.8726   
  2M13251706-4759220 201.321111 -47.989449 3.8454618  
  2M13251717-4731197 201.321571 -47.522144 223.30193  
  2M13251733-4741357 201.322216 -47.693256 239.7945   
  2M13251733-4741357 201.322216 -47.693256 239.85083  
  2M13251752-4724266 201.323028 -47.407398 229.46301  
  2M13251771-4723421 201.32383  -47.395035 244.29402  
  2M13251786-4715429 201.32442  -47.261936 239.98476  
  2M13251799-4733257 201.324982 -47.55714  239.25511  
  2M13251810-4719297 201.325427 -47.324928 235.24152  
  2M13251852-4724164 201.327181 -47.40456  225.5027   
  2M13251897-4728509 201.329042 -47.480816 242.45584  
  2M13251897-4728509 201.329042 -47.480816 241.96698  
  2M13251901-4717469 201.329218 -47.296383 -36.768238 
  2M13251928-4735070 201.330337 -47.585285 239.0625   
  2M13251946-4723332 201.331108 -47.392567 223.83289  
  2M13251974-4741206 201.332265 -47.689068 236.29712  
  2M13251984-4818227 201.332694 -48.306332 12.087845  
  2M13252028-4714003 201.334507 -47.233429 220.30362  
  2M13252099-4701585 201.33748  -47.032944 29.427837  
  2M13252104-4729104 201.337673 -47.486225 246.1803   
  2M13252118-4744039 201.338278 -47.734417 243.3507   
  2M13252131-4736540 201.338822 -47.615005 241.50778  
  2M13252131-4736540 201.338822 -47.615005 241.87674  
  2M13252187-4734335 201.341126 -47.575989 254.76303  
  2M13252191-4720591 201.341302 -47.349766 218.43402  
  2M13252199-4659350 201.341629 -46.993076 63.057426  
  2M13252210-4731298 201.342085 -47.524948 221.66089  
  2M13252233-4734503 201.343078 -47.580647 224.06537  
  2M13252237-4730523 201.343241 -47.514534 216.05305  
  2M13252320-4742195 201.346679 -47.705425 226.69333  
  2M13252350-4720224 201.347922 -47.339565 233.38235  
  2M13252366-4722574 201.34861  -47.382633 229.10031  
  2M13252390-4720436 201.349586 -47.345459 228.5462   
  2M13252391-4725451 201.349626 -47.429211 251.03453  
  2M13252403-4739206 201.350157 -47.655724 239.39005  
  2M13252432-4715051 201.351358 -47.251438 231.13219  
  2M13252455-4727117 201.352293 -47.453255 219.94914  
  2M13252469-4729096 201.352906 -47.486008 220.5174   
  2M13252474-4705379 201.353091 -47.093872 21.452614  
  2M13252474-4725510 201.353107 -47.43084  222.32474  
  2M13252502-4826100 201.354255 -48.436119 -24.743013 
  2M13252510-4755189 201.354618 -47.921917 -0.73918796
  2M13252510-4755189 201.354618 -47.921917 -0.8023858 
  2M13252546-4731390 201.356119 -47.527508 223.01207  
  2M13252561-4731436 201.356723 -47.528797 224.4765   
  2M13252606-4727120 201.358623 -47.453335 222.75195  
  2M13252619-4730521 201.359161 -47.514477 220.80495  
  2M13252654-4708366 201.360584 -47.143509 -33.97667  
  2M13252665-4736205 201.361054 -47.605701 227.68285  
  2M13252711-4732369 201.36297  -47.54361  236.15562  
  2M13252722-4659237 201.363441 -46.989933 -2.251764  
  2M13252755-4727321 201.364795 -47.458923 231.11717  
  2M13252755-4832446 201.364812 -48.545734 -63.115948 
  2M13252766-4734077 201.365257 -47.568806 246.16652  
  2M13252770-4724458 201.36544  -47.412739 231.31088  
  2M13252789-4716105 201.36621  -47.269588 64.37126   
  2M13252825-4715388 201.367724 -47.260799 252.04674  
  2M13252825-4723232 201.367737 -47.389801 231.43001  
  2M13252836-4731200 201.368173 -47.522224 228.76048  
  2M13252878-4747375 201.369926 -47.793777 -44.310486 
  2M13252896-4713130 201.370689 -47.220295 227.87009  
  2M13252908-4738433 201.371187 -47.645363 225.15656  
  2M13252908-4727205 201.371188 -47.455704 236.36165  
  2M13252924-4723060 201.371841 -47.385002 235.4134   
  2M13252924-4723060 201.371841 -47.385002 234.83662  
  2M13252929-4715347 201.372062 -47.259655 228.38911  
  2M13252939-4718351 201.372497 -47.309776 238.1415   
  2M13252939-4718351 201.372497 -47.309776 236.57898  
  2M13252945-4734458 201.372743 -47.579391 -25.703533 
  2M13253033-4723345 201.37641  -47.392925 216.03477  
  2M13253050-4748051 201.377107 -47.801426 237.16173  
  2M13253067-4714591 201.377826 -47.249756 233.04587  
  2M13253174-4723207 201.382273 -47.389107 239.70093  
  2M13253222-4728575 201.38428  -47.482651 235.10365  
  2M13253265-4719121 201.386074 -47.320053 227.69908  
  2M13253269-4723149 201.386245 -47.387489 233.99556  
  2M13253283-4729097 201.386812 -47.486034 219.31506  
  2M13253283-4729011 201.386824 -47.483665 218.66362  
  2M13253311-4647101 201.387977 -46.78616  -20.99457  
  2M13253334-4737097 201.388917 -47.61937  235.07712  
  2M13253337-4730395 201.389051 -47.510998 236.68146  
  2M13253398-4721500 201.3916   -47.363892 229.90144  
  2M13253413-4745098 201.392247 -47.752728 -26.833506 
  2M13253438-4721538 201.393265 -47.36496  217.8186   
  2M13253460-4727504 201.394198 -47.46402  231.52034  
  2M13253464-4728053 201.394339 -47.468159 223.53441  
  2M13253468-4720221 201.394515 -47.339478 232.16847  
  2M13253481-4723478 201.395051 -47.396626 260.56448  
  2M13253481-4728008 201.395054 -47.466908 241.23735  
  2M13253498-4737169 201.395758 -47.621368 215.0121   
  2M13253523-4726598 201.396808 -47.449966 233.10516  
  2M13253523-4726598 201.396808 -47.449966 233.24799  
  2M13253524-4735130 201.39687  -47.586952 217.63487  
  2M13253528-4731430 201.397012 -47.528633 243.81259  
  2M13253534-4731557 201.39726  -47.532158 224.04822  
  2M13253538-4741479 201.397434 -47.696644 232.93327  
  2M13253538-4741479 201.397434 -47.696644 232.96132  
  2M13253561-4659244 201.398413 -46.990131 -9.874949  
  2M13253584-4810502 201.399362 -48.180634 -33.743748 
